sensor_reading_mA,pressure_bar,fit_pressure_bar,residual_bar
4.089999999999999858e+00,0.000000000000000000e+00,3.132043352243929490e-03,-3.132043352243929490e-03
4.549999999999999822e+00,2.899999999999999800e-01,2.861077205245274868e-01,3.892279475472493200e-03
5.120000000000000107e+00,6.400000000000000133e-01,6.367514944119219145e-01,3.248505588078098860e-03
5.709999999999999964e+00,9.899999999999999911e-01,9.996985586111550859e-01,-9.698558611155094766e-03
6.160000000000000142e+00,1.280000000000000027e+00,1.276522590627519271e+00,3.477409372480755323e-03
6.830000000000000071e+00,1.689999999999999947e+00,1.688682816074105641e+00,1.317183925894305219e-03
7.290000000000000036e+00,1.979999999999999982e+00,1.971658493246388755e+00,8.341506753611227509e-03
7.830000000000000071e+00,2.299999999999999822e+00,2.303847331666025955e+00,-3.847331666026132524e-03
8.419999999999999929e+00,2.660000000000000142e+00,2.666794395865258682e+00,-6.794395865258540113e-03
8.919999999999999929e+00,2.979999999999999982e+00,2.974376653661218395e+00,5.623346338781587406e-03
9.570000000000000284e+00,3.370000000000000107e+00,3.374233588795967353e+00,-4.233588795967246909e-03
1.005000000000000071e+01,3.669999999999999929e+00,3.669512556280089211e+00,4.874437199107184426e-04
1.058999999999999986e+01,4.000000000000000000e+00,4.001701394699725967e+00,-1.701394699725966575e-03
1.107000000000000028e+01,4.299999999999999822e+00,4.296980362183846935e+00,3.019637816152886955e-03
