sensor_reading_mA,pressure_bar,fit_pressure_bar,residual_bar
4.000000000000000000e+00,0.000000000000000000e+00,1.500000000000056843e-03,-1.500000000000056843e-03
4.500000000000000000e+00,3.300000000000000155e-01,3.127142857142857224e-01,1.728571428571429314e-02
5.000000000000000000e+00,6.400000000000000133e-01,6.239285714285713880e-01,1.607142857142862535e-02
5.500000000000000000e+00,9.399999999999999467e-01,9.351428571428570535e-01,4.857142857142893178e-03
6.000000000000000000e+00,1.209999999999999964e+00,1.246357142857142719e+00,-3.635714285714275462e-02
6.500000000000000000e+00,1.580000000000000071e+00,1.557571428571428385e+00,2.242857142857168640e-02
7.000000000000000000e+00,1.830000000000000071e+00,1.868785714285714050e+00,-3.878571428571397917e-02
7.500000000000000000e+00,2.189999999999999947e+00,2.179999999999999716e+00,1.000000000000023093e-02
8.000000000000000000e+00,2.500000000000000000e+00,2.491214285714285381e+00,8.785714285714618654e-03
8.500000000000000000e+00,2.819999999999999840e+00,2.802428571428571047e+00,1.757142857142879322e-02
9.000000000000000000e+00,3.069999999999999840e+00,3.113642857142856712e+00,-4.364285714285687234e-02
9.500000000000000000e+00,3.410000000000000142e+00,3.424857142857142378e+00,-1.485714285714223593e-02
1.000000000000000000e+01,3.740000000000000213e+00,3.736071428571428044e+00,3.928571428572169566e-03
1.050000000000000000e+01,4.070000000000000284e+00,4.047285714285713709e+00,2.271428571428657506e-02
1.100000000000000000e+01,4.370000000000000107e+00,4.358499999999999375e+00,1.150000000000073186e-02
